timestamp,log_type,message
3211.48,Log,New State: Waiting
3212.036,Log,New State: Started
3212.036,Log,GAMEBOARD SET TO: PARTONESTART
3212.67,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
3213.09,Log,GAMEBOARD SET TO: PARTONEFINISH
3213.655,Log,New State: MiddleStarted
3213.655,Log,GAMEBOARD SET TO: PARTTWOSTART
3213.77,Log,GAMEBOARD SET TO: PARTTWOSTARTMOVED
3214.42,Log,New State: Finished
3214.42,Log,Correct
3214.42,Log,GAMEBOARD SET TO: PARTTWOFINISH
3215.43,Log,Preparing trial number: 27
3215.43,Log,New State: Preparation
3215.43,Log,GAMEBOARD SET TO: PREPARATION
3215.43,Log,Destroying targets
3215.43,Log,Creating targets
3216.37,Log,New State: Waiting
3216.723,Log,New State: Started
3216.723,Log,GAMEBOARD SET TO: PARTONESTART
3217.17,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
3217.58,Log,GAMEBOARD SET TO: PARTONEFINISH
3218.15,Log,New State: MiddleStarted
3218.15,Log,GAMEBOARD SET TO: PARTTWOSTART
3218.45,Log,GAMEBOARD SET TO: PARTTWOSTARTMOVED
3218.73,Log,New State: Finished
3218.73,Log,Correct
3218.73,Log,GAMEBOARD SET TO: PARTTWOFINISH
3219.736,Log,Preparing trial number: 28
3219.736,Log,New State: Preparation
3219.736,Log,GAMEBOARD SET TO: PREPARATION
3219.736,Log,Destroying targets
3219.736,Log,Creating targets
3220.63,Log,New State: Waiting
3221.151,Log,New State: Started
3221.151,Log,GAMEBOARD SET TO: PARTONESTART
3221.54,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
3221.93,Log,GAMEBOARD SET TO: PARTONEFINISH
3222.437,Log,New State: MiddleStarted
3222.437,Log,GAMEBOARD SET TO: PARTTWOSTART
3222.76,Log,GAMEBOARD SET TO: PARTTWOSTARTMOVED
3223.12,Log,New State: Finished
3223.12,Log,Correct
3223.12,Log,GAMEBOARD SET TO: PARTTWOFINISH
3224.124,Log,Preparing trial number: 29
3224.124,Log,New State: Preparation
3224.124,Log,GAMEBOARD SET TO: PREPARATION
3224.124,Log,Destroying targets
3224.124,Log,Creating targets
3225.08,Log,New State: Waiting
3225.46,Log,New State: Started
3225.46,Log,GAMEBOARD SET TO: PARTONESTART
3225.84,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
3226.27,Log,GAMEBOARD SET TO: PARTONEFINISH
3226.583,Log,New State: MiddleStarted
3226.583,Log,GAMEBOARD SET TO: PARTTWOSTART
3226.95,Log,GAMEBOARD SET TO: PARTTWOSTARTMOVED
3227.26,Log,New State: Finished
3227.26,Log,Correct
3227.26,Log,GAMEBOARD SET TO: PARTTWOFINISH
3228.268,Log,Preparing trial number: 30
3228.268,Log,New State: Preparation
3228.268,Log,GAMEBOARD SET TO: PREPARATION
3228.268,Log,Destroying targets
3228.268,Log,Creating targets
3229.34,Log,New State: Waiting
3229.813,Log,New State: Started
3229.813,Log,GAMEBOARD SET TO: PARTONESTART
3230.24,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
3230.69,Log,GAMEBOARD SET TO: PARTONEFINISH
3231.097,Log,New State: MiddleStarted
3231.097,Log,GAMEBOARD SET TO: PARTTWOSTART
3231.43,Log,GAMEBOARD SET TO: PARTTWOSTARTMOVED
3231.78,Log,New State: Finished
3231.78,Log,Correct
3231.78,Log,GAMEBOARD SET TO: PARTTWOFINISH
3232.784,Log,Preparing trial number: 31
3232.784,Log,New State: Preparation
3232.784,Log,GAMEBOARD SET TO: PREPARATION
3232.784,Log,Destroying targets
3232.784,Log,Creating targets
3241.14,Log,New State: Waiting
3241.443,Log,New State: Started
3241.443,Log,GAMEBOARD SET TO: PARTONESTART
3241.83,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
3242.26,Log,GAMEBOARD SET TO: PARTONEFINISH
3242.709,Log,New State: MiddleStarted
3242.709,Log,GAMEBOARD SET TO: PARTTWOSTART
3243.02,Log,GAMEBOARD SET TO: PARTTWOSTARTMOVED
3243.31,Log,New State: Finished
3243.31,Log,Correct
3243.31,Log,GAMEBOARD SET TO: PARTTWOFINISH
3244.316,Log,Preparing trial number: 32
3244.316,Log,New State: Preparation
3244.316,Log,GAMEBOARD SET TO: PREPARATION
3244.316,Log,Destroying targets
3244.316,Log,Creating targets
3245.33,Log,New State: Waiting
3245.758,Log,New State: Started
3245.758,Log,GAMEBOARD SET TO: PARTONESTART
3246.06,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
3246.56,Log,New State: Finished
3246.56,Log,Failed: TimeoutStartMoved object: VisualPointer
3246.56,Log,GAMEBOARD SET TO: PARTTWOFINISH
3247.556,Log,Preparing trial number: 33
3247.556,Log,New State: Preparation
3247.556,Log,GAMEBOARD SET TO: PREPARATION
3247.556,Log,Destroying targets
3247.556,Log,Creating targets
3250.01,Log,New State: Waiting
3250.511,Log,New State: Started
3250.511,Log,GAMEBOARD SET TO: PARTONESTART
3250.86,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
3251.36,Log,GAMEBOARD SET TO: PARTONEFINISH
3251.74,Log,New State: MiddleStarted
3251.74,Log,GAMEBOARD SET TO: PARTTWOSTART
3252.14,Log,GAMEBOARD SET TO: PARTTWOSTARTMOVED
